"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 02 12:36:29 GMT 2022","Fri Sep 02 12:36:36 GMT 2022","7687","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Sep 02 12:36:34 GMT 2022","Fri Sep 02 12:36:35 GMT 2022","1530","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Sep 02 12:36:31 GMT 2022","Fri Sep 02 12:36:34 GMT 2022","2765","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Sep 02 12:36:33 GMT 2022","Fri Sep 02 12:36:34 GMT 2022","442","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Sep 02 12:36:23 GMT 2022","Fri Sep 02 12:36:24 GMT 2022","646","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Fri Sep 02 12:36:24 GMT 2022","Fri Sep 02 12:36:31 GMT 2022","6446","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Sep 02 12:36:24 GMT 2022","Fri Sep 02 12:36:26 GMT 2022","1216","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Sep 02 12:36:21 GMT 2022","Fri Sep 02 12:36:24 GMT 2022","2771","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Sep 02 12:36:24 GMT 2022","Fri Sep 02 12:36:24 GMT 2022","459","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Sep 02 12:36:33 GMT 2022","Fri Sep 02 12:36:33 GMT 2022","405","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
