"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 26 15:25:30 MSK 2022","Fri Aug 26 15:25:31 MSK 2022","459","","Base page test","","Base page test","POST test request","POST test request",""
"failed","Fri Aug 26 15:25:32 MSK 2022","Fri Aug 26 15:25:32 MSK 2022","391","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Thu Aug 18 19:58:10 MSK 2022","Thu Aug 18 19:58:12 MSK 2022","1238","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Thu Aug 18 19:58:10 MSK 2022","Thu Aug 18 19:58:10 MSK 2022","231","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Fri Aug 26 15:25:31 MSK 2022","Fri Aug 26 15:25:33 MSK 2022","2148","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Thu Aug 18 19:58:05 MSK 2022","Thu Aug 18 19:58:06 MSK 2022","1093","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Thu Aug 18 19:58:05 MSK 2022","Thu Aug 18 19:58:05 MSK 2022","297","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Thu Aug 11 19:21:55 MSK 2022","Thu Aug 11 19:21:56 MSK 2022","256","","Base page test","","Base page test","Get test","Get test",""
"failed","Fri Aug 26 15:25:30 MSK 2022","Fri Aug 26 15:25:30 MSK 2022","430","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Thu Aug 18 19:58:22 MSK 2022","Thu Aug 18 19:58:25 MSK 2022","3041","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Aug 26 15:25:32 MSK 2022","Fri Aug 26 15:25:34 MSK 2022","1196","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Aug 26 15:25:26 MSK 2022","Fri Aug 26 15:25:29 MSK 2022","2584","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Aug 26 15:25:30 MSK 2022","Fri Aug 26 15:25:35 MSK 2022","4390","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Aug 26 15:25:29 MSK 2022","Fri Aug 26 15:25:33 MSK 2022","4309","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Thu Aug 18 19:58:04 MSK 2022","Thu Aug 18 19:58:05 MSK 2022","232","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Thu Aug 18 19:58:23 MSK 2022","Thu Aug 18 19:58:26 MSK 2022","3007","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Aug 26 15:25:26 MSK 2022","Fri Aug 26 15:25:31 MSK 2022","4472","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Thu Aug 18 19:58:09 MSK 2022","Thu Aug 18 19:58:10 MSK 2022","1018","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Thu Aug 18 19:58:08 MSK 2022","Thu Aug 18 19:58:08 MSK 2022","247","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Thu Aug 18 19:58:08 MSK 2022","Thu Aug 18 19:58:11 MSK 2022","3197","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Aug 26 15:25:32 MSK 2022","Fri Aug 26 15:25:32 MSK 2022","368","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Thu Aug 18 19:58:08 MSK 2022","Thu Aug 18 19:58:09 MSK 2022","323","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Thu Aug 18 19:58:04 MSK 2022","Thu Aug 18 19:58:06 MSK 2022","1727","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Thu Aug 18 19:58:10 MSK 2022","Thu Aug 18 19:58:10 MSK 2022","299","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Thu Aug 18 19:58:10 MSK 2022","Thu Aug 18 19:58:12 MSK 2022","1857","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Thu Aug 18 19:58:08 MSK 2022","Thu Aug 18 19:58:11 MSK 2022","2639","","Base page test","","Base page test","Signing in","Signing in",""
